"","Anatomical Label","Cluster Size (mm3)","Max Z Value","X","Y","Z"
"1","Frontal_Inf_Tri_L",24592,19.482744,-44,32,18
"2","Parietal_Sup_L",26328,17.771738,-26,-70,46
"3","Precentral_L",968,16.108837,-44,2,22
"4","Temporal_Inf_L",14032,15.845755,-54,-60,-14
"5","Frontal_Inf_Tri_R",10872,14.738966,50,38,18
"6","Frontal_Mid_L",5280,13.247336,-28,10,66
"7","Temporal_Inf_R",3280,13.104247,60,-50,-8
"8","Cerebelum_8_R",3968,11.663378,28,-70,-46
"9","Cerebelum_Crus1_R",832,9.941065,6,-80,-24
"10","Insula_L",624,8.091671,-42,-2,6
